exponent	R0	R2	R3	R4	R5	R6	R7	R8	R9
1	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
3	476280.521993424	477857.275846478	499428.556415275	561456.996148907	459913.537585126	459321.130705264	349203.814026289	0	0
4	342066.205653097	347953.294145809	347017.32722042	305974.540008558	334253.864060263	326447.151549701	287425.532254716	266096.037898364	131350.452614077
5	179190.624347233	162273.58565843	144502.975447631	117003.637141635	173604.383846855	176743.955485606	207247.927680439	222599.052540913	128302.23535932
6	2462.64800624457	11915.8443492832	8722.72506338426	11646.8763371844	20617.9604701936	12169.5810045481	71968.1845043204	172346.037898364	211666.358765934
7	0	0	328.41585329007	1711.59606332905	1922.99350808959	5142.94920253306	22871.3804283592	99240.9560723515	148254.202845003
8	0	0	0	294.180573384681	347.006347324436	2379.38854671409	8720.51237003082	56120.8010335918	86435.433216331
9	0	0	0	1912.17372700043	1012.10184636294	570.061839316917	15795.946399195	42716.4082687339	50087.7517088491
10	0	0	0	0	2776.05077859549	2800.73860186137	14502.24401463	45354.2204995693	38541.4742287087
11	0	0	0	0	5552.10155719099	6927.49061256862	8049.7037261823	31869.0783807063	34015.3334564936
12	0	0	0	0	0	7497.55245188554	5606.04366644839	39728.6821705426	55145.0212451506
13	0	0	0	0	0	0	8608.7109293894	23928.7252368648	65328.8379826344
14	0	0	0	0	0	0	0	0	50872.8985774987
